clfindex,alpha,numtree,subsamplesize,G-Measure,PD,PF,skewed_F
2,0.3,10,512,58.12%,54.66%,24.36%,41.64%
2,0.3,20,512,58.93%,55.92%,24.59%,42.50%
2,0.3,30,512,57.88%,54.45%,24.02%,41.62%
2,0.3,40,512,58.74%,55.42%,23.76%,42.18%
2,0.3,50,512,59.14%,55.17%,23.79%,42.50%
2,0.3,60,512,58.76%,55.85%,24.55%,42.46%
2,0.3,70,512,58.69%,54.44%,23.14%,42.14%
2,0.3,80,512,57.88%,54.16%,23.51%,41.44%
2,0.3,90,512,59.35%,56.22%,23.97%,42.94%
2,0.3,100,512,59.94%,56.79%,24.50%,43.50%
2,0.3,110,512,58.52%,54.92%,24.09%,42.10%
2,0.3,120,512,58.83%,55.99%,24.37%,42.40%
2,0.4,10,16,64.33%,64.49%,27.55%,48.33%
2,0.4,20,16,64.05%,65.38%,28.69%,48.51%
2,0.4,30,16,64.47%,65.27%,28.29%,48.69%
2,0.4,40,16,64.23%,65.14%,28.42%,48.54%
2,0.4,50,16,64.26%,64.39%,27.65%,48.31%
2,0.4,60,16,63.85%,65.12%,28.66%,48.28%
2,0.4,70,16,63.87%,64.21%,27.57%,48.07%
2,0.4,80,16,64.38%,65.52%,28.53%,48.70%
2,0.4,90,16,64.03%,65.06%,28.21%,48.33%
2,0.4,100,16,64.44%,64.97%,27.94%,48.62%
2,0.4,110,16,65.03%,65.89%,28.51%,49.30%
2,0.4,120,16,64.66%,65.95%,28.67%,49.20%
2,0.4,10,32,63.19%,63.62%,27.72%,47.35%
2,0.4,20,32,62.88%,63.16%,27.67%,47.04%
2,0.4,30,32,62.64%,63.39%,28.31%,46.87%
2,0.4,40,32,63.24%,63.42%,27.29%,47.44%
2,0.4,50,32,63.05%,64.00%,28.29%,47.46%
2,0.4,60,32,63.56%,63.67%,27.51%,47.65%
2,0.4,70,32,63.67%,63.75%,27.44%,47.63%
2,0.4,80,32,63.10%,63.29%,27.40%,47.31%
2,0.4,90,32,63.00%,63.21%,27.46%,47.25%
2,0.4,100,32,63.49%,63.68%,27.77%,47.60%
2,0.4,110,32,62.78%,63.71%,28.26%,47.25%
2,0.4,120,32,63.79%,64.35%,27.69%,48.10%
2,0.4,10,64,61.99%,61.88%,27.43%,45.93%
2,0.4,20,64,62.19%,61.76%,26.75%,46.20%
2,0.4,30,64,62.47%,62.58%,27.35%,46.69%
2,0.4,40,64,62.41%,62.19%,27.33%,46.38%
2,0.4,50,64,62.10%,61.89%,27.24%,46.12%
2,0.4,60,64,62.50%,62.81%,27.44%,46.58%
2,0.4,70,64,62.32%,61.91%,27.20%,46.27%
2,0.4,80,64,62.62%,62.31%,26.93%,46.66%
2,0.4,90,64,62.78%,62.91%,27.73%,47.09%
2,0.4,100,64,61.85%,61.66%,27.20%,45.93%
2,0.4,110,64,62.70%,62.45%,27.14%,46.66%
2,0.4,120,64,62.10%,62.11%,27.10%,46.28%
2,0.4,10,128,61.92%,60.75%,26.75%,45.78%
2,0.4,20,128,61.21%,59.74%,26.37%,45.01%
2,0.4,30,128,61.08%,60.30%,26.54%,45.04%
2,0.4,40,128,61.43%,61.15%,27.32%,45.47%
2,0.4,50,128,60.59%,60.64%,27.06%,45.04%
2,0.4,60,128,61.55%,61.08%,26.72%,45.63%
2,0.4,70,128,60.84%,60.70%,27.55%,45.02%
2,0.4,80,128,61.15%,60.09%,26.35%,45.07%
2,0.4,90,128,61.34%,60.08%,26.26%,45.08%
2,0.4,100,128,62.33%,61.21%,26.50%,46.08%
2,0.4,110,128,62.00%,60.28%,25.96%,45.64%
2,0.4,120,128,61.21%,60.43%,26.92%,45.16%
2,0.4,10,256,60.72%,59.50%,26.57%,44.43%
2,0.4,20,256,60.03%,58.78%,26.86%,43.69%
2,0.4,30,256,59.33%,58.10%,26.26%,43.17%
2,0.4,40,256,61.12%,59.35%,26.43%,45.07%
2,0.4,50,256,59.71%,57.74%,25.84%,43.45%
2,0.4,60,256,61.21%,60.65%,26.76%,45.16%
2,0.4,70,256,60.89%,60.26%,26.70%,44.94%
2,0.4,80,256,60.22%,58.55%,26.16%,44.03%
2,0.4,90,256,60.80%,58.81%,25.49%,44.39%
2,0.4,100,256,59.78%,58.29%,26.13%,43.69%
2,0.4,110,256,60.36%,59.70%,26.95%,44.38%
2,0.4,120,256,60.24%,58.03%,25.77%,43.87%
2,0.4,10,512,59.09%,57.19%,26.49%,43.09%
2,0.4,20,512,58.65%,55.43%,25.43%,42.16%
2,0.4,30,512,58.76%,57.24%,26.52%,43.17%
2,0.4,40,512,59.35%,58.09%,27.16%,43.47%
2,0.4,50,512,60.12%,57.94%,26.63%,44.04%
2,0.4,60,512,58.68%,56.90%,26.40%,42.73%
2,0.4,70,512,59.95%,58.29%,26.99%,43.79%
2,0.4,80,512,59.91%,59.12%,26.79%,44.25%
2,0.4,90,512,58.98%,55.94%,25.56%,42.55%
2,0.4,100,512,58.67%,55.86%,26.66%,42.44%
2,0.4,110,512,58.73%,57.89%,27.67%,43.26%
2,0.4,120,512,59.82%,58.63%,27.51%,43.65%
2,0.5,10,16,65.55%,68.63%,31.23%,50.58%
2,0.5,20,16,65.01%,68.18%,31.21%,50.16%
2,0.5,30,16,64.54%,68.19%,31.46%,49.87%
2,0.5,40,16,64.60%,67.41%,30.51%,49.58%
2,0.5,50,16,64.99%,68.83%,32.04%,50.23%
2,0.5,60,16,65.21%,68.14%,30.92%,50.12%
2,0.5,70,16,65.43%,68.04%,30.34%,50.38%
2,0.5,80,16,65.07%,67.60%,30.58%,49.94%
2,0.5,90,16,65.31%,68.77%,31.51%,50.59%
2,0.5,100,16,65.50%,68.26%,30.66%,50.34%
2,0.5,110,16,65.31%,68.35%,30.98%,50.33%
2,0.5,120,16,64.98%,68.68%,31.88%,50.34%
2,0.5,10,32,64.20%,66.59%,30.54%,49.04%
2,0.5,20,32,64.64%,67.36%,30.57%,49.43%
2,0.5,30,32,64.00%,66.10%,30.46%,48.69%
2,0.5,40,32,64.22%,67.09%,30.78%,49.10%
2,0.5,50,32,63.62%,66.11%,30.62%,48.39%
2,0.5,60,32,64.17%,66.08%,29.93%,48.77%
2,0.5,70,32,63.78%,66.13%,30.19%,48.44%
2,0.5,80,32,64.53%,66.41%,30.17%,49.21%
2,0.5,90,32,64.33%,66.76%,30.37%,49.14%
2,0.5,100,32,64.56%,67.40%,30.72%,49.41%
2,0.5,110,32,63.30%,65.90%,30.34%,48.22%
2,0.5,120,32,63.78%,66.11%,30.19%,48.50%
2,0.5,10,64,62.87%,64.34%,29.46%,47.38%
2,0.5,20,64,63.23%,64.88%,29.37%,47.84%
2,0.5,30,64,62.96%,65.15%,30.02%,47.72%
2,0.5,40,64,62.85%,64.36%,29.65%,47.35%
2,0.5,50,64,63.12%,64.94%,30.42%,47.67%
2,0.5,60,64,63.59%,64.51%,28.76%,47.86%
2,0.5,70,64,63.27%,65.15%,30.16%,47.96%
2,0.5,80,64,63.89%,65.42%,29.95%,48.52%
2,0.5,90,64,63.18%,64.88%,29.68%,47.67%
2,0.5,100,64,63.23%,64.69%,29.33%,47.76%
2,0.5,110,64,63.92%,66.09%,30.33%,48.49%
2,0.5,120,64,62.74%,64.46%,29.75%,47.34%
2,0.5,10,128,63.39%,64.00%,28.86%,47.62%
2,0.5,20,128,62.02%,61.82%,28.08%,46.08%
2,0.5,30,128,62.43%,63.76%,29.65%,47.06%
2,0.5,40,128,63.17%,63.95%,28.78%,47.33%
2,0.5,50,128,61.12%,61.44%,28.11%,45.43%
2,0.5,60,128,61.65%,61.88%,28.77%,45.94%
2,0.5,70,128,62.81%,64.20%,29.51%,47.10%
2,0.5,80,128,61.88%,63.40%,29.71%,46.66%
2,0.5,90,128,62.66%,62.65%,28.01%,46.64%
2,0.5,100,128,61.99%,63.59%,29.62%,46.50%
2,0.5,110,128,61.54%,62.73%,29.09%,46.10%
2,0.5,120,128,62.53%,62.81%,28.78%,46.69%
2,0.5,10,256,60.12%,60.11%,28.29%,44.33%
2,0.5,20,256,60.72%,60.89%,29.12%,44.84%
2,0.5,30,256,60.62%,61.42%,29.14%,45.03%
2,0.5,40,256,61.45%,62.24%,29.25%,45.87%
2,0.5,50,256,60.82%,60.69%,28.75%,44.91%
2,0.5,60,256,60.69%,61.12%,29.32%,44.98%
2,0.5,70,256,60.97%,62.17%,30.19%,45.53%
2,0.5,80,256,60.54%,62.20%,30.22%,45.44%
2,0.5,90,256,60.84%,62.39%,29.26%,45.49%
2,0.5,100,256,61.87%,63.14%,29.79%,46.64%
2,0.5,110,256,61.13%,61.74%,29.49%,45.47%
2,0.5,120,256,60.35%,61.15%,29.30%,45.00%
2,0.5,10,512,58.87%,60.14%,30.42%,44.13%
2,0.5,20,512,58.82%,60.20%,29.87%,44.22%
2,0.5,30,512,57.61%,59.76%,31.18%,43.55%
2,0.5,40,512,58.56%,61.25%,31.96%,44.26%
2,0.5,50,512,59.64%,61.26%,30.71%,44.68%
2,0.5,60,512,59.72%,61.49%,31.41%,44.64%
2,0.5,70,512,58.94%,59.79%,30.45%,43.55%
2,0.5,80,512,60.62%,62.17%,31.55%,45.57%
2,0.5,90,512,59.66%,62.25%,31.46%,44.84%
2,0.5,100,512,58.84%,60.73%,32.20%,44.00%
2,0.5,110,512,58.58%,60.90%,31.70%,43.69%
2,0.5,120,512,59.69%,61.12%,31.15%,44.28%
